start,end,mid,Alpha(月),Alpha_t,Alpha_sig,年化Alpha%,AdjR2
2007-07,2012-06,2010-01,0.018546983069299024,4.420469089156266,***,22.256379683158826,0.9032366021017342
2008-07,2013-06,2011-01,0.017876884894426286,4.672775677403277,***,21.452261873311542,0.9214538821147653
2009-07,2014-06,2012-01,0.017031257301472195,5.403805842972768,***,20.437508761766633,0.9438802080587961
2010-07,2015-06,2013-01,0.017819674022338115,4.851102671157372,***,21.383608826805737,0.9335059415645707
2011-07,2016-06,2014-01,0.017423771693000828,4.427338523617452,***,20.908526031600992,0.9512019700099568
2012-07,2017-06,2015-01,0.021002805592550165,5.92257910116622,***,25.203366711060198,0.9423757237579957
2013-07,2018-06,2016-01,0.02477140882959618,6.147791969259685,***,29.72569059551542,0.9342945567650247
2014-07,2019-06,2017-01,0.023485022537636124,5.864361827473784,***,28.18202704516335,0.9428458812182055
2015-07,2020-06,2018-01,0.018123170772275744,8.512270207341178,***,21.747804926730893,0.951500358664998
2016-07,2021-06,2019-01,0.020538742106120923,9.137037265664103,***,24.646490527345108,0.8820499305284714
2017-07,2022-06,2020-01,0.02336885024709789,7.525450614684397,***,28.042620296517466,0.8800400927366133
2018-07,2023-06,2021-01,0.01953692495998193,4.698242332134176,***,23.44430995197832,0.8822192880364541
2019-07,2024-06,2022-01,0.018495333464437276,5.0189251579918635,***,22.194400157324733,0.8329394817040431
2020-07,2025-06,2023-01,0.016586753340697064,4.9116280363937275,***,19.904104008836477,0.8116622096954443
